DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,GOOGLE2019,GOOGLE2010,GOOGLE2001
AD INTERACTIONS,PRODUCT USE,THIRD PARTY,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
APP INFORMATION,BEHAVIOR ON DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
APP INFORMATION,BEHAVIOR ON DEVICE,ADVERTISING,ADVERTISING,GOOGLE,GOOGLE,
APP INFORMATION,BEHAVIOR ON DEVICE,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,
APP INFORMATION,BEHAVIOR ON DEVICE,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,
APP INFORMATION,BEHAVIOR ON DEVICE,IMPROVE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,
APP INFORMATION,BEHAVIOR ON DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,GOOGLE,GOOGLE,
APP INFORMATION,BEHAVIOR ON DEVICE,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,
APP INFORMATION,BEHAVIOR ON DEVICE,LOCATION-BASED SERVICES,OPERATIONS,GOOGLE,GOOGLE,
APP INFORMATION,BEHAVIOR ON DEVICE,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,
APP INFORMATION,BEHAVIOR ON DEVICE,PERSONALIZE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,
APP INFORMATION,BEHAVIOR ON DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
APP INFORMATION,BEHAVIOR ON DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
APP INFORMATION,BEHAVIOR ON DEVICE,PROVIDE SERVICES,OPERATIONS,GOOGLE,GOOGLE,
APP INFORMATION,BEHAVIOR ON DEVICE,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,GOOGLE,GOOGLE,
APP INFORMATION,BEHAVIOR ON DEVICE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,GOOGLE,
APP INFORMATION,BEHAVIOR ON DEVICE,THIRD PARTY,THIRD PARTY,GOOGLE,GOOGLE,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
