DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,GOOGLE2019,GOOGLE2010,YEARS,GOOGLECONCRETETEXT,GOOGLEFOREXAMPLE,USERCONTROLGOOGLE,DOWNLOADABLEGOOGLE,ERASABLEGOOGLE
NETWORK INFORMATION,DEVICE INFO,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number.",No,No,Unknown
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.",No,No,Unknown
NAME,PERSONAL DATA,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","When you create a Google Account, you provide us with personal information that includes your name and a password. ",No,Yes,Unknown
LOCATION HISTORY,LOCATION FROM DEVICE,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.",No,Partial,Unknown
IP ADDRESS,DEVICE INFO,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,Unknown
DEVICE SIGNALS,DEVICE SIGNALS,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","If you use Google’s Location services, your device sends information to Google about its location, sensors (like accelerometer), and nearby cell towers and Wi-Fi access points (like MAC address and signal strength). All these things help to determine your location.",No,No,Unknown
DEVICE SETTINGS,DEVICE INFO,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,No
DEVICE INFORMATION,DEVICE INFO,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,Unknown
DEVICE IDENTIFIERS,DEVICE INFO,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number.",No,No,Unknown
DEMOGRAPHICS,NON-PERSONAL DATA,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","With demographic targeting in Google Ads, you can reach a specific set of potential customers who are likely to be within a particular age range, gender, parental status, or household income.",No,No,Unknown
DATE OF BIRTH,PERSONAL DATA,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","When you sign up for a Google Account, you provide us with personal information. If you are signed in, we collect and protect information you create when using our services. This can include: Your name, birthday, and gender",No,No,Unknown
CURRENT LOCATION,LOCATION FROM DEVICE,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you. Your location can be determined with varying degrees of accuracy by: GPS; IP address; Sensor data from your device; Information about things near your device, such as Wi-Fi access points, cell towers, and Bluetooth-enabled devices",No,Partial,Unknown
CONTACTS' INFORMATION,PERSONAL DATA,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.",,No,Yes,Unknown
CAMERA INFORMATION,DEVICE INFO,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","Android devices with Google apps include devices sold by Google or one of our partners and include phones, cameras, vehicles, wearables, and televisions. These devices use Google Play Services and other pre-installed apps that include services like Gmail, Maps, your phone’s camera and phone dialer, text-to-speech conversion, keyboard input, and security features.",Partial,No,Unknown
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010",,,,,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for; Videos you watch; Views and interactions with content and ads; Voice and audio information when you use audio features; Purchase activity; People with whom you communicate or share content; Activity on third-party sites and apps that use our services; Chrome browsing history you’ve synced with your Google Account",No,Partial,Unknown
APP INFORMATION,BEHAVIOR ON DEVICE,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,Unknown
ACCOUNT INFORMATION,PERSONAL DATA,THIRD PARTY,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","When you’re signed in, we also collect information that we store with your Google Account, which we treat as personal information. This is information that you provide to us which personally identifies you, such as your name, email address, or billing information, or other data that can be reasonably linked to such information by Google, such as information we associate with your Google Account.",No,Partial,Unknown
USER'S CONTACT INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,2019,2010,"2019,2010","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. For example, we use service providers to help us with customer support.","When you sign up for a Google Account, you provide us with personal information. If you are signed in, we collect and protect information you create when using our services. This can include: Your name, birthday, and gender; Your password and phone number",No,No,Unknown
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,2019,2010,"2019,2010","We may share non-personally identifiable information publicly and with our partners — like publishers, advertisers, developers, or rights holders. For example, we share information publicly to show trends about the general use of our services. We also allow specific partners to collect information from your browser or device for advertising and measurement purposes using their own cookies or similar technologies.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,Unknown
SEARCHES,NON-PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,2019,2010,"2019,2010","We may share non-personally identifiable information publicly and with our partners — like publishers, advertisers, developers, or rights holders. For example, we share information publicly to show trends about the general use of our services. We also allow specific partners to collect information from your browser or device for advertising and measurement purposes using their own cookies or similar technologies.","Like most websites, our servers automatically record the page requests made when you visit our sites. These “server logs” typically include your web request, Internet Protocol address, browser type, browser language, the date and time of your request, and one or more cookies that may uniquely identify your browser.",No,Partial,Yes
PURCHASE HISTORY,NON-PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,2019,2010,"2019,2010","We may share non-personally identifiable information publicly and with our partners — like publishers, advertisers, developers, or rights holders. For example, we share information publicly to show trends about the general use of our services. We also allow specific partners to collect information from your browser or device for advertising and measurement purposes using their own cookies or similar technologies.","Where necessary to process your transactions, you also permit Google to share your personal information with merchants, payment processors, and other third parties.",No,Yes,Unknown
PUBLIC DATA,NON-PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,2019,2010,"2019,2010","We may share non-personally identifiable information publicly and with our partners — like publishers, advertisers, developers, or rights holders. For example, we share information publicly to show trends about the general use of our services. We also allow specific partners to collect information from your browser or device for advertising and measurement purposes using their own cookies or similar technologies.","In some circumstances, Google also collects information about you from publicly accessible sources. For example, if your name appears in your local newspaper, Google’s Search engine may index that article and display it to other people if they search for your name. ",No,No,Unknown
AD INTERACTIONS,PRODUCT USE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,2019,2010,"2019,2010","We may share non-personally identifiable information publicly and with our partners — like publishers, advertisers, developers, or rights holders.","For example, we share information publicly to show trends about the general use of our services. We also allow specific partners to collect information from your browser or device for advertising and measurement purposes using their own cookies or similar technologies.",No,Partial,No
CONTENT CREATED/UPLOADED,PRODUCT USE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,2019,2010,"2019,2010","We may share non-personally identifiable information publicly and with our partners — like publishers, advertisers, developers, or rights holders.","For example, we share information publicly to show trends about the general use of our services. We also allow specific partners to collect information from your browser or device for advertising and measurement purposes using their own cookies or similar technologies.",No,Partial,Unknown
ACTIVE STATUS,PRODUCT USE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,2019,2010,"2019,2010","We may share non-personally identifiable information publicly and with our partners — like publishers, advertisers, developers, or rights holders.","For example, we share information publicly to show trends about the general use of our services. We also allow specific partners to collect information from your browser or device for advertising and measurement purposes using their own cookies or similar technologies.",No,No,Unknown
FEATURES USE,PRODUCT USE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,2019,2010,"2019,2010","We may share non-personally identifiable information publicly and with our partners — like publishers, advertisers, developers, or rights holders.","For example, we share information publicly to show trends about the general use of our services. We also allow specific partners to collect information from your browser or device for advertising and measurement purposes using their own cookies or similar technologies.",No,No,Unknown
