DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,GOOGLE2019,GOOGLE2010,YEARS,GOOGLECONCRETETEXT,GOOGLEFOREXAMPLE,USERCONTROLGOOGLE,DOWNLOADABLEGOOGLE,ERASABLEGOOGLE
PRODUCT USE,PRODUCT USE,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","Some examples of how we use your information to help keep our services safe and reliable include: Collecting and analyzing IP addresses and cookie data to protect against automated abuse. This abuse takes many forms, such as sending spam to Gmail users, stealing money from advertisers by fraudulently clicking on ads, or censoring content by launching a Distributed Denial of Service (DDoS) attack.",No,No,No
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","If you have directly communicated with Google, through a customer support channel, feedback form, or a bug report, Google may retain reasonable records of those communications.",No,No,No
PHOTOS,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","When we detect spam, malware, illegal content, and other forms of abuse on our systems in violation of our policies, we may disable your account or take other appropriate action.",No,Yes,No
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","We also collect the content you create, upload, or receive from others when using our services. This includes things like email you write and receive, photos and videos you save, docs and spreadsheets you create, and comments you make on YouTube videos.",No,No,No
PAYMENT CARD INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","In addition to the uses listed in the Google Privacy Policy, we use the information that you provide to us and to GPC or another of our subsidiaries, as well as information about you from third parties, in order to provide you with Google Payments for customer service purposes, and to prevent harm to the rights, property or safety of Google, our users or the public, including to help prevent fraud, phishing or other misconduct. ","When you sign up for Google Payments, you are creating a Google Payments Account that is associated with your Google Account. Depending on the Google Payments services that you use, in addition to the information listed in the Google Privacy Policy, you may be asked to provide the following information: Credit or debit card number and card expiry date, bank account number and expiry date, address, phone number, date of birth, social security number or taxpayer identification number (or some other government-issued identification number), and for sellers or businesses specifically, your business category and certain information about your sales or transaction volume. ",No,No,No
NON-PERSONAL DATA,NON-PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","We may also collect information about you from trusted partners, including marketing partners who provide us with information about potential customers of our business services, and security partners who provide us with information to protect against abuse. We also receive information from advertisers to provide advertising and research services on their behalf.",No,No,No
NETWORK INFORMATION,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number.",No,No,No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,No,No
NAME,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","When you create a Google Account, you provide us with personal information that includes your name and a password. ",No,Yes,No
LOGIN INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,No,No
LOCATION HISTORY,LOCATION FROM DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,Partial,No
FILE INFORMATION,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","When we detect spam, malware, illegal content, and other forms of abuse on our systems in violation of our policies, we may disable your account or take other appropriate action.",No,Yes,No
DEVICE SIGNALS,DEVICE SIGNALS,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","If you use Google’s Location services, your device sends information to Google about its location, sensors (like accelerometer), and nearby cell towers and Wi-Fi access points (like MAC address and signal strength). All these things help to determine your location.",No,No,No
DEVICE SETTINGS,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,No
DEVICE INFORMATION,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,No,No
DEVICE IDENTIFIERS,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","When you’re not signed in to a Google Account, we store the information we collect with unique identifiers tied to the browser, application, or device you’re using. This helps us do things like maintain your language preferences across browsing sessions.",No,No,No
DEMOGRAPHICS,NON-PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","With demographic targeting in Google Ads, you can reach a specific set of potential customers who are likely to be within a particular age range, gender, parental status, or household income.... Google Ads can't know or infer the demographics of all people. “Unknown” refers to people whose age, gender, parental status, or household income we haven’t identified. In addition, some websites on the Display Network opt out of demographic targeting, so if you want to show your ads on those sites, leave the ""Unknown"" category selected.",No,No,No
DATE OF BIRTH,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","When you sign up for a Google Account, you provide us with personal information. If you are signed in, we collect and protect information you create when using our services. This can include: Your name, birthday, and gender",No,No,No
CURRENT LOCATION,LOCATION FROM DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.","For example, we may send you a notification if we detect suspicious activity, like an attempt to sign in to your Google Account from an unusual location. ",No,Partial,No
CONTACTS' INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.",,No,Yes,No
CAMERA INFORMATION,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","Android devices with Google apps include devices sold by Google or one of our partners and include phones, cameras, vehicles, wearables, and televisions. These devices use Google Play Services and other pre-installed apps that include services like Gmail, Maps, your phone’s camera and phone dialer, text-to-speech conversion, keyboard input, and security features.",Partial,No,No
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010",,,,,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for; Videos you watch; Views and interactions with content and ads; Voice and audio information when you use audio features; Purchase activity; People with whom you communicate or share content; Activity on third-party sites and apps that use our services; Chrome browsing history you’ve synced with your Google Account",No,Partial,No
APP INFORMATION,BEHAVIOR ON DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,No
ACCOUNT INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","When you’re signed in, we also collect information that we store with your Google Account, which we treat as personal information. This is information that you provide to us which personally identifies you, such as your name, email address, or billing information, or other data that can be reasonably linked to such information by Google, such as information we associate with your Google Account.",No,Partial,No
USER'S CONTACT INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","Most people only have one layer – their password – to protect their account. With 2-Step Verification, if a bad guy hacks through your password layer, he'll still need your phone or Security Key to get into your account.",Partial,No,No
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,No
SEARCHES,NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","For example, when you’re signed in to your Google Account and have the Web & App Activity control enabled, you can get more relevant search results that are based on your previous searches and activity from other Google services. You can learn more here. You may also get customized search results even when you’re signed out. ",No,Partial,No
PURCHASE HISTORY,NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","In addition to the uses listed in the Google Privacy Policy, we use the information that you provide to us and to GPC or another of our subsidiaries, as well as information about you from third parties, in order to provide you with Google Payments for customer service purposes, and to prevent harm to the rights, property or safety of Google, our users or the public, including to help prevent fraud, phishing or other misconduct. ","When you use Google Payments to conduct a transaction, we may collect information about the transaction, including the date, time and amount of the transaction, the merchant's location and description, a description provided by the seller of the goods or services purchased, any photo you choose to associate with the transaction, the names and email addresses of the seller and buyer (or sender and recipient), the type of payment method used, your description of the reason for the transaction and the offer associated with the transaction, if any.",No,Yes,No
PUBLIC DATA,NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","In some circumstances, Google also collects information about you from publicly accessible sources. For example, if your name appears in your local newspaper, Google’s Search engine may index that article and display it to other people if they search for your name. ",No,No,No
AD INTERACTIONS,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","Some examples of how we use your information to help keep our services safe and reliable include: Collecting and analyzing IP addresses and cookie data to protect against automated abuse. This abuse takes many forms, such as sending spam to Gmail users, stealing money from advertisers by fraudulently clicking on ads, or censoring content by launching a Distributed Denial of Service (DDoS) attack.",No,Partial,No
CONTENT CREATED/UPLOADED,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","Some examples of how we use your information to help keep our services safe and reliable include: Collecting and analyzing IP addresses and cookie data to protect against automated abuse. This abuse takes many forms, such as sending spam to Gmail users, stealing money from advertisers by fraudulently clicking on ads, or censoring content by launching a Distributed Denial of Service (DDoS) attack.",No,Partial,No
ACTIVE STATUS,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","Some examples of how we use your information to help keep our services safe and reliable include: Collecting and analyzing IP addresses and cookie data to protect against automated abuse. This abuse takes many forms, such as sending spam to Gmail users, stealing money from advertisers by fraudulently clicking on ads, or censoring content by launching a Distributed Denial of Service (DDoS) attack.",No,No,No
FEATURES USE,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","Some examples of how we use your information to help keep our services safe and reliable include: Collecting and analyzing IP addresses and cookie data to protect against automated abuse. This abuse takes many forms, such as sending spam to Gmail users, stealing money from advertisers by fraudulently clicking on ads, or censoring content by launching a Distributed Denial of Service (DDoS) attack.",No,No,No
USE OF OTHER PLATFORMS,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","Some examples of how we use your information to help keep our services safe and reliable include: Collecting and analyzing IP addresses and cookie data to protect against automated abuse. This abuse takes many forms, such as sending spam to Gmail users, stealing money from advertisers by fraudulently clicking on ads, or censoring content by launching a Distributed Denial of Service (DDoS) attack.",No,No,No
PRODUCT USE,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","Some examples of how we use your information to help keep our services safe and reliable include: Collecting and analyzing IP addresses and cookie data to protect against automated abuse. This abuse takes many forms, such as sending spam to Gmail users, stealing money from advertisers by fraudulently clicking on ads, or censoring content by launching a Distributed Denial of Service (DDoS) attack.",No,No,No
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","If you have directly communicated with Google, through a customer support channel, feedback form, or a bug report, Google may retain reasonable records of those communications.",No,No,No
PHOTOS,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","When we detect spam, malware, illegal content, and other forms of abuse on our systems in violation of our policies, we may disable your account or take other appropriate action.",No,Yes,No
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","We also collect the content you create, upload, or receive from others when using our services. This includes things like email you write and receive, photos and videos you save, docs and spreadsheets you create, and comments you make on YouTube videos.",No,No,No
PAYMENT CARD INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","In addition to the uses listed in the Google Privacy Policy, we use the information that you provide to us and to GPC or another of our subsidiaries, as well as information about you from third parties, in order to provide you with Google Payments for customer service purposes, and to prevent harm to the rights, property or safety of Google, our users or the public, including to help prevent fraud, phishing or other misconduct. ","When you sign up for Google Payments, you are creating a Google Payments Account that is associated with your Google Account. Depending on the Google Payments services that you use, in addition to the information listed in the Google Privacy Policy, you may be asked to provide the following information: Credit or debit card number and card expiry date, bank account number and expiry date, address, phone number, date of birth, social security number or taxpayer identification number (or some other government-issued identification number), and for sellers or businesses specifically, your business category and certain information about your sales or transaction volume. ",No,No,No
NON-PERSONAL DATA,NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","We may also collect information about you from trusted partners, including marketing partners who provide us with information about potential customers of our business services, and security partners who provide us with information to protect against abuse. We also receive information from advertisers to provide advertising and research services on their behalf.",No,No,No
NETWORK INFORMATION,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number.",No,No,No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,No,No
NAME,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","When you create a Google Account, you provide us with personal information that includes your name and a password. ",No,Yes,No
LOGIN INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,No,No
LOCATION HISTORY,LOCATION FROM DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,Partial,No
IP ADDRESS,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,No,No
FILE INFORMATION,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","When we detect spam, malware, illegal content, and other forms of abuse on our systems in violation of our policies, we may disable your account or take other appropriate action.",No,Yes,No
DEVICE SIGNALS,DEVICE SIGNALS,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","If you use Google’s Location services, your device sends information to Google about its location, sensors (like accelerometer), and nearby cell towers and Wi-Fi access points (like MAC address and signal strength). All these things help to determine your location.",No,No,No
DEVICE SETTINGS,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,No
DEVICE INFORMATION,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,No,No
DEVICE IDENTIFIERS,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","When you’re not signed in to a Google Account, we store the information we collect with unique identifiers tied to the browser, application, or device you’re using. This helps us do things like maintain your language preferences across browsing sessions.",No,No,No
DEMOGRAPHICS,NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","With demographic targeting in Google Ads, you can reach a specific set of potential customers who are likely to be within a particular age range, gender, parental status, or household income.... Google Ads can't know or infer the demographics of all people. “Unknown” refers to people whose age, gender, parental status, or household income we haven’t identified. In addition, some websites on the Display Network opt out of demographic targeting, so if you want to show your ads on those sites, leave the ""Unknown"" category selected.",No,No,No
DATE OF BIRTH,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","When you sign up for a Google Account, you provide us with personal information. If you are signed in, we collect and protect information you create when using our services. This can include: Your name, birthday, and gender",No,No,No
CURRENT LOCATION,LOCATION FROM DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.","For example, we may send you a notification if we detect suspicious activity, like an attempt to sign in to your Google Account from an unusual location. ",No,Partial,No
CONTACTS' INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.",,No,Yes,No
CAMERA INFORMATION,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","Android devices with Google apps include devices sold by Google or one of our partners and include phones, cameras, vehicles, wearables, and televisions. These devices use Google Play Services and other pre-installed apps that include services like Gmail, Maps, your phone’s camera and phone dialer, text-to-speech conversion, keyboard input, and security features.",Partial,No,No
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010",,,,,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: Terms you search for; Videos you watch; Views and interactions with content and ads; Voice and audio information when you use audio features; Purchase activity; People with whom you communicate or share content; Activity on third-party sites and apps that use our services; Chrome browsing history you’ve synced with your Google Account",No,Partial,No
APP INFORMATION,BEHAVIOR ON DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,No
ACCOUNT INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","When you’re signed in, we also collect information that we store with your Google Account, which we treat as personal information. This is information that you provide to us which personally identifies you, such as your name, email address, or billing information, or other data that can be reasonably linked to such information by Google, such as information we associate with your Google Account.",No,Partial,No
USER'S CONTACT INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,2019,2010,"2019,2010","We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results.",A flight confirmation email you receive may be used to create a “check-in” button that appears in your Gmail,No,No,Unknown
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PERSONALIZE PRODUCTS,ANALYTICS,2019,2010,"2019,2010","We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,Unknown
SEARCHES,NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,2019,2010,"2019,2010","For example, when you’re signed in to your Google Account and have the Web & App Activity control enabled, you can get more relevant search results that are based on your previous searches and activity from other Google services.... You may also get customized search results even when you’re signed out.","Like most websites, our servers automatically record the page requests made when you visit our sites. These “server logs” typically include your web request, Internet Protocol address, browser type, browser language, the date and time of your request, and one or more cookies that may uniquely identify your browser.",No,Partial,Yes
