DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,COMPANIES,IN_NODES,IN_NODES
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,15
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,19
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,OTHER,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,12
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,16
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,PERSONALIZE PRODUCT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,17
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,26
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,27
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,21
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,RECOGNIZE FACES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,22
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,24
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,23
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,29
CAMERA INFO,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,25
CAMERA INFO,DEVICE INFO,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,11
CAMERA INFO,DEVICE INFO,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,13
CAMERA INFO,DEVICE INFO,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,18
CAMERA INFO,DEVICE INFO,ANYONE,THIRD PARTY,APPLE,34,28
CAMERA INFO,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,20
CAMERA INFO,DEVICE INFO,IMPROVE PRODUCT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,14
CAMERA INFO,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,15
CAMERA INFO,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,19
CAMERA INFO,DEVICE INFO,OTHER,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,12
CAMERA INFO,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,16
CAMERA INFO,DEVICE INFO,PERSONALIZE PRODUCT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,17
CAMERA INFO,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,26
CAMERA INFO,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,27
CAMERA INFO,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,21
CAMERA INFO,DEVICE INFO,RECOGNIZE FACES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,22
CAMERA INFO,DEVICE INFO,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,24
CAMERA INFO,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,23
CAMERA INFO,DEVICE INFO,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,29
CONTACTS' INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,25
CONTACTS' INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,20
CONTACTS' INFORMATION,PERSONAL DATA,IMPROVE PRODUCT,ANALYTICS,"AMAZON,APPLE",52,14
CONTACTS' INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,52,15
CONTACTS' INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,52,19
CONTACTS' INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,52,16
CONTACTS' INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCT,ANALYTICS,AMAZON,52,17
CONTACTS' INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,AMAZON,52,26
CONTACTS' INFORMATION,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,21
CONTACTS' INFORMATION,PERSONAL DATA,RECOGNIZE FACES,OPERATIONS,APPLE,52,22
CONTACTS' INFORMATION,PERSONAL DATA,THIRD PARTY,THIRD PARTY,FACEBOOK,52,29
CREDIT HISTORY,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,FACEBOOK,53,25
CREDIT HISTORY,PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,53,11
CREDIT HISTORY,PERSONAL DATA,IMPROVE PRODUCT,ANALYTICS,"AMAZON,APPLE",53,14
CREDIT HISTORY,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,AMAZON,53,27
CREDIT HISTORY,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,AMAZON,53,23
