DATASOURCE,DATATYPE,HOW,DATATYPE_IN_NODES,DATASOURCE_IN_NODES
ACTIVE PRODUCT USE,BEHAVIOR ON DEVICE,HARVESTED,33,1
ACTIVE PRODUCT USE,CALL/MESSAGE LOG,HARVESTED,34,1
ACTIVE PRODUCT USE,CONTACTS' INFORMATION,HARVESTED,36,1
ACTIVE PRODUCT USE,DEMOGRAPHICS,HARVESTED,40,1
ACTIVE PRODUCT USE,FILE INFO,HARVESTED,47,1
ACTIVE PRODUCT USE,LOGIN INFORMATION,HARVESTED,50,1
ACTIVE PRODUCT USE,NETWORK INFO,HARVESTED,53,1
ACTIVE PRODUCT USE,NON-PERSONAL DATA,HARVESTED,54,1
ACTIVE PRODUCT USE,PHOTOS,USER PROVIDED,58,1
ACTIVE PRODUCT USE,PRODUCT USE,HARVESTED,60,1
ACTIVE PRODUCT USE,PURCHASE HISTORY,USER PROVIDED,62,1
ACTIVE PRODUCT USE,"SEARCHES (TERMS, RESULTS, HISTORY)",USER PROVIDED,63,1
BEACONS,CURRENT LOCATION,HARVESTED,38,2
BEACONS,LOCATION HISTORY,HARVESTED,49,2
BEACONS,NEARBY LOCATIONS AND PEOPLE,HARVESTED,52,2
CELL TOWERS,CURRENT LOCATION,HARVESTED,38,3
CELL TOWERS,DEMOGRAPHICS,HARVESTED,40,3
CELL TOWERS,LOCATION HISTORY,HARVESTED,49,3
CELL TOWERS,NEARBY LOCATIONS AND PEOPLE,HARVESTED,52,3
COOKIES,ACCOUNTS,HARVESTED,31,4
COOKIES,BEHAVIOR ON DEVICE,HARVESTED,33,4
COOKIES,NETWORK INFO,HARVESTED,53,4
COOKIES,PRODUCT USE,HARVESTED,60,4
DEVICE,APP INFO,HARVESTED,32,5
DEVICE,BEHAVIOR ON DEVICE,HARVESTED,33,5
DEVICE,CALL/MESSAGE LOG,HARVESTED,34,5
DEVICE,CAMERA INFO,HARVESTED,35,5
DEVICE,CURRENT LOCATION,HARVESTED,38,5
DEVICE,DEMOGRAPHICS,HARVESTED,40,5
DEVICE,DEVICE IDENTIFIERS,HARVESTED,41,5
DEVICE,DEVICE INFO,HARVESTED,42,5
DEVICE,DEVICE SETTINGS,HARVESTED,43,5
DEVICE,DEVICE SIGNALS,HARVESTED,44,5
DEVICE,FILE INFO,HARVESTED,47,5
DEVICE,IP ADDRESS,HARVESTED,48,5
DEVICE,LOCATION HISTORY,HARVESTED,49,5
DEVICE,NEARBY LOCATIONS AND PEOPLE,HARVESTED,52,5
DEVICE,NEARBY LOCATIONS AND PEOPLE,HARVESTED,52,5
DEVICE,NETWORK INFO,HARVESTED,53,5
DEVICE,PRODUCT USE,HARVESTED,60,5
DEVICE,PUBLIC DATA,HARVESTED,61,5
DEVICE,SERVICE PROVIDER,HARVESTED,64,5
PUBLIC DATA SOURCE,ACCOUNTS,HARVESTED,31,7
PUBLIC DATA SOURCE,DEMOGRAPHICS,HARVESTED,40,7
PUBLIC DATA SOURCE,FAMILY MEMBERS INFORMATION,HARVESTED,46,7
PUBLIC DATA SOURCE,NEARBY LOCATIONS AND PEOPLE,HARVESTED,52,7
PUBLIC DATA SOURCE,PUBLIC DATA,HARVESTED,61,7
PUBLIC DATA SOURCE,SERVICE PROVIDER,HARVESTED,64,7
THIRD PARTY APPLICATIONS,ACCOUNTS,HARVESTED,31,8
THIRD PARTY APPLICATIONS,APP INFO,HARVESTED,32,8
THIRD PARTY APPLICATIONS,DEVICE IDENTIFIERS,HARVESTED,41,8
THIRD PARTY APPLICATIONS,"SEARCHES (TERMS, RESULTS, HISTORY)",USER PROVIDED,63,8
THIRD PARTY DATA BROKERS,CREDIT HISTORY,FROM THIRD PARTIES,37,6
THIRD PARTY DATA BROKERS,DRIVER'S LICENSE NUMBER,FROM THIRD PARTIES,45,6
THIRD PARTY DATA BROKERS,NEARBY LOCATIONS AND PEOPLE,FROM THIRD PARTIES,,
THIRD PARTY DATA BROKERS,NON-PERSONAL DATA,FROM THIRD PARTIES,54,6
THIRD PARTY DATA BROKERS,PRODUCT SUPPORT,FROM THIRD PARTIES,59,6
THIRD PARTY DATA BROKERS,PRODUCT USE,FROM THIRD PARTIES,60,6
THIRD PARTY DATA BROKERS,SERVICE PROVIDER,FROM THIRD PARTIES,64,6
USER PROVIDED,ACCOUNTS,USER PROVIDED,31,9
USER PROVIDED,CONTACTS' INFORMATION,USER PROVIDED,36,9
USER PROVIDED,CURRENT LOCATION,USER PROVIDED,38,9
USER PROVIDED,DATE OF BIRTH,USER PROVIDED,39,9
USER PROVIDED,DEMOGRAPHICS,USER PROVIDED,40,9
USER PROVIDED,DRIVER'S LICENSE NUMBER,USER PROVIDED,45,9
USER PROVIDED,FAMILY MEMBERS INFORMATION,USER PROVIDED,46,9
USER PROVIDED,LOCATION HISTORY,USER PROVIDED,49,9
USER PROVIDED,LOGIN INFORMATION,USER PROVIDED,50,9
USER PROVIDED,NAME,USER PROVIDED,51,9
USER PROVIDED,NEARBY LOCATIONS AND PEOPLE,USER PROVIDED,52,9
USER PROVIDED,NON-PERSONAL DATA,USER PROVIDED,54,9
USER PROVIDED,OTHER ACCOUNT INFORMATION,USER PROVIDED,55,9
USER PROVIDED,PAYMENT CARD INFORMATION,USER PROVIDED,56,9
USER PROVIDED,PHOTOGRAPH FROM PROFILE,USER PROVIDED,57,9
USER PROVIDED,PHOTOS,USER PROVIDED,58,9
USER PROVIDED,PRODUCT SUPPORT,USER PROVIDED,59,9
USER PROVIDED,PRODUCT USE,USER PROVIDED,60,9
USER PROVIDED,PURCHASE HISTORY,USER PROVIDED,62,9
USER PROVIDED,SOCIAL SECURITY NUMBER,USER PROVIDED,65,9
USER PROVIDED,USER'S CONTACT INFORMATION,USER PROVIDED,66,9
WIFI ACCESS POINTS,CURRENT LOCATION,HARVESTED,38,10
WIFI ACCESS POINTS,LOCATION HISTORY,HARVESTED,49,10
WIFI ACCESS POINTS,NEARBY LOCATIONS AND PEOPLE,HARVESTED,52,10
