DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,COMPANIES,IN_NODES,IN_NODES,APPLE_CONCRETE_TEXT,APPLE_FOR_EXAMPLE,Facebook Concrete text,Facebook For Example,AMAZON_CONCRETE_TEXT,AMAZON_FOR_EXAMPLE,GOOGLE_CONCRETE_TEXT,GOOGLE_FOR_EXAMPLE,UserControlFacebook,USER_CONTROL_GOOGLE,DOWNLOADABLE_AMAZON,DOWNLOADABLE_APPLE,DownloadableFacebook,DOWNLOADABLE_GOOGLE,ERASABLE_AMAZON,ERASABLE_APPLE,ErasableFacebook,ERASABLE_GOOGLE
SOCIAL SECURITY NUMBER,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,AMAZON,62,15,,,,,,,,,,,,,,,,,,
USER'S CONTACT INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",63,15,,,,,,,,,,,,,,,,,,
ACCOUNT INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK, GOOGLE",28,16,,,,,,,,,,,,,,,,,,
APP INFORMATION,BEHAVIOR ON DEVICE,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,16,,,,,,,,,,,,,,,,,,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,16,,,,,,,,,,,,,,,,,,
BIOMETRICS,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"APPLE,FACEBOOK,GOOGLE",31,16,,,,,,,,,,,,,,,,,,
CAMERA INFORMATION,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",33,16,,,,,,,,,,,,,,,,,,
CONTACTS' INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE",34,16,,,,,,,,,,,,,,,,,,
CREDIT HISTORY,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE",35,16,,,,,,,,,,,,,,,,,,
CURRENT LOCATION,LOCATION FROM DEVICE,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,16,,,,,,,,,,,,,,,,,,
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE",56,16,,,,,,,,,,,,,,,,,,
DATE OF BIRTH,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",37,16,,,,,,,,,,,,,,,,,,
DEVICE IDENTIFIERS,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE",39,16,,,,,,,,,,,,,,,,,,
DEVICE INFORMATION,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",40,16,,,,,,,,,,,,,,,,,,
DEVICE SETTINGS,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,16,,,,,,,,,,,,,,,,,,
DEVICE SIGNALS,DEVICE SIGNALS,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",42,16,,,,,,,,,,,,,,,,,,
DRIVER'S LICENSE NUMBER,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,43,16,,,,,,,,,,,,,,,,,,
IP ADDRESS,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",46,16,,,,,,,,,,,,,,,,,,
LOCATION HISTORY,LOCATION FROM DEVICE,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",47,16,,,,,,,,,,,,,,,,,,
LOGIN INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",48,16,,,,,,,,,,,,,,,,,,
NAME,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK",49,16,,,,,,,,,,,,,,,,,,
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE",50,16,,,,,,,,,,,,,,,,,,
NETWORK INFORMATION,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",51,16,,,,,,,,,,,,,,,,,,
NON-PERSONAL DATA,NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE",52,16,,,,,,,,,,,,,,,,,,
PAYMENT CARD INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,53,16,,,,,,,,,,,,,,,,,,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",54,16,,,,,,,,,,,,,,,,,,
PHOTOS,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,55,16,,,,,,,,,,,,,,,,,,
PRODUCT USE,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",57,16,,,,,,,,,,,,,,,,,,
PUBLIC DATA,NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",58,16,,,,,,,,,,,,,,,,,,
PURCHASE HISTORY,NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,59,16,,,,,,,,,,,,,,,,,,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,60,16,,,,,,,,,,,,,,,,,,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",61,16,,,,,,,,,,,,,,,,,,
SOCIAL SECURITY NUMBER,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,62,16,,,,,,,,,,,,,,,,,Unknown,
USER'S CONTACT INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",63,16,,,,,,,,,,,,,,,,,,
ACCOUNT INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK",28,17,,,,,,,,,,,,,,,,,,
APP INFORMATION,BEHAVIOR ON DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,17,,,,,,,,,,,,,,,,,,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,17,,,,,,,,,,,,,,,,,,
CAMERA INFORMATION,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",33,17,,,,,,,,,,,,,,,,,,
CONTACTS' INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,34,17,,,,,,,,,,,,,,,,,,
CURRENT LOCATION,LOCATION FROM DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,17,,,,,,,,,,,,,,,,,,
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE",56,17,,,,,,,,,,,,,,,,,,
DATE OF BIRTH,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",37,17,,,,,,,,,,,,,,,,,,
DEVICE IDENTIFIERS,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE",39,17,,,,,,,,,,,,,,,,,,
DEVICE INFORMATION,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",40,17,,,,,,,,,,,,,,,,,,
DEVICE SETTINGS,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,17,,,,,,,,,,,,,,,,,,
DEVICE SIGNALS,DEVICE SIGNALS,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",42,17,,,,,,,,,,,,,,,,,,
DRIVER'S LICENSE NUMBER,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,43,17,,,,,,,,,,,,,,,,,,
IP ADDRESS,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",46,17,,,,,,,,,,,,,,,,,,
LOCATION HISTORY,LOCATION FROM DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",47,17,,,,,,,,,,,,,,,,,,
LOGIN INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",48,17,,,,,,,,,,,,,,,,,,
NAME,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK",49,17,,,,,,,,,,,,,,,,,,
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",50,17,,,,,,,,,,,,,,,,,,
NETWORK INFORMATION,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",51,17,,,,,,,,,,,,,,,,,,
NON-PERSONAL DATA,NON-PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE",52,17,,,,,,,,,,,,,,,,,,
PAYMENT CARD INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,53,17,,,,,,,,,,,,,,,,,,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",54,17,,,,,,,,,,,,,,,,,,
PRODUCT USE,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",57,17,,,,,,,,,,,,,,,,,,
PUBLIC DATA,NON-PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",58,17,,,,,,,,,,,,,,,,,,
PURCHASE HISTORY,NON-PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,59,17,,,,,,,,,,,,,,,,,,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,60,17,,,,,,,,,,,,,,,,,,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",61,17,,,,,,,,,,,,,,,,,,
SOCIAL SECURITY NUMBER,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,62,17,,,,,,,,,,,,,,,,,,
USER'S CONTACT INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",63,17,,,,,,,,,,,,,,,,,,
ACCOUNT INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",28,18,,,,,,,,,,,,,,,,,,
APP INFORMATION,BEHAVIOR ON DEVICE,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,18,,,,,,,,,,,,,,,,,,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,18,,,,,,,,,,,,,,,,,,
BIOMETRICS,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",31,18,,,,,,,,,,,,,,,,,,
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,18,,,,,,,,,,,,,,,,,,
CAMERA INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",33,18,,,,,,,,,,,,,,,,,,
CONTACTS' INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,18,,,,,,,,,,,,,,,,,,
CREDIT HISTORY,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",35,18,,,,,,,,,,,,,,,,,,
CURRENT LOCATION,LOCATION FROM DEVICE,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,18,,,,,,,,,,,,,,,,,,
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",56,18,,,,,,,,,,,,,,,,,,
DATE OF BIRTH,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",37,18,,,,,,,,,,,,,,,,,,
DEMOGRAPHICS,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",38,18,,,,,,,,,,,,,,,,,,
DEVICE IDENTIFIERS,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",39,18,,,,,,,,,,,,,,,,,,
DEVICE INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",40,18,,,,,,,,,,,,,,,,,,
DEVICE SETTINGS,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,18,,,,,,,,,,,,,,,,,,
DEVICE SIGNALS,DEVICE SIGNALS,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",42,18,,,,,,,,,,,,,,,,,,
DRIVER'S LICENSE NUMBER,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",43,18,,,,,,,,,,,,,,,,,,
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",44,18,,,,,,,,,,,,,,,,,,
FILE INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",45,18,,,,,,,,,,,,,,,,,,
IP ADDRESS,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",46,18,,,,,,,,,,,,,,,,,,
LOCATION HISTORY,LOCATION FROM DEVICE,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",47,18,,,,,,,,,,,,,,,,,,
LOGIN INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",48,18,,,,,,,,,,,,,,,,,,
NAME,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",49,18,,,,,,,,,,,,,,,,,,
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",50,18,,,,,,,,,,,,,,,,,,
NETWORK INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",51,18,,,,,,,,,,,,,,,,,,
NON-PERSONAL DATA,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,18,,,,,,,,,,,,,,,,,,
PAYMENT CARD INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",53,18,,,,,,,,,,,,,,,,,,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",54,18,,,,,,,,,,,,,,,,,,
PHOTOS,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",55,18,,,,,,,,,,,,,,,,,,
PRODUCT USE,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",57,18,,,,,,,,,,,,,,,,,,
PUBLIC DATA,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",58,18,,,,,,,,,,,,,,,,,,
PURCHASE HISTORY,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",59,18,,,,,,,,,,,,,,,,,,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",60,18,,,,,,,,,,,,,,,,,,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",61,18,,,,,,,,,,,,,,,,,,
SOCIAL SECURITY NUMBER,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",62,18,,,,,,,,,,,,,,,,,,
USER'S CONTACT INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",63,18,,,,,,,,,,,,,,,,,,
ACCOUNT INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK",28,19,,,,,,,,,,,,,,,,,,
APP INFORMATION,BEHAVIOR ON DEVICE,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,19,,,,,,,,,,,,,,,,,,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,19,,,,,,,,,,,,,,,,,,
CAMERA INFORMATION,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",33,19,,,,,,,,,,,,,,,,,,
CONTACTS' INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,34,19,,,,,,,,,,,,,,,,,,
CURRENT LOCATION,LOCATION FROM DEVICE,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,19,,,,,,,,,,,,,,,,,,
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE",56,19,,,,,,,,,,,,,,,,,,
DATE OF BIRTH,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",37,19,,,,,,,,,,,,,,,,,,
DEVICE IDENTIFIERS,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE",39,19,,,,,,,,,,,,,,,,,,
DEVICE INFORMATION,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",40,19,,,,,,,,,,,,,,,,,,
DEVICE SETTINGS,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,19,,,,,,,,,,,,,,,,,,
DEVICE SIGNALS,DEVICE SIGNALS,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",42,19,,,,,,,,,,,,,,,,,,
IP ADDRESS,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",46,19,,,,,,,,,,,,,,,,,,
LOCATION HISTORY,LOCATION FROM DEVICE,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",47,19,,,,,,,,,,,,,,,,,,
LOGIN INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",48,19,,,,,,,,,,,,,,,,,,
NAME,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK",49,19,,,,,,,,,,,,,,,,,,
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",50,19,,,,,,,,,,,,,,,,,,
NETWORK INFORMATION,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",51,19,,,,,,,,,,,,,,,,,,
NON-PERSONAL DATA,NON-PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE",52,19,,,,,,,,,,,,,,,,,,
PAYMENT CARD INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,53,19,,,,,,,,,,,,,,,,,,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",54,19,,,,,,,,,,,,,,,,,,
PRODUCT USE,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",57,19,,,,,,,,,,,,,,,,,,
PUBLIC DATA,NON-PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",58,19,,,,,,,,,,,,,,,,,,
PURCHASE HISTORY,NON-PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,59,19,,,,,,,,,,,,,,,,,,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,60,19,,,,,,,,,,,,,,,,,,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",61,19,,,,,,,,,,,,,,,,,,
USER'S CONTACT INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",63,19,,,,,,,,,,,,,,,,,,
ACCOUNT INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE",28,20,,,,,,,,,,,,,,,,,,
APP INFORMATION,BEHAVIOR ON DEVICE,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,20,,,,,,,,,,,,,,,,,,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,20,,,,,,,,,,,,,,,,,,
CAMERA INFORMATION,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",33,20,,,,,,,,,,,,,,,,,,
CONTACTS' INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,34,20,,,,,,,,,,,,,,,,,,
CURRENT LOCATION,LOCATION FROM DEVICE,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,20,,,,,,,,,,,,,,,,,,
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE",56,20,,,,,,,,,,,,,,,,,,
DATE OF BIRTH,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",37,20,,,,,,,,,,,,,,,,,,
DEVICE IDENTIFIERS,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE",39,20,,,,,,,,,,,,,,,,,,
DEVICE INFORMATION,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",40,20,,,,,,,,,,,,,,,,,,
DEVICE SETTINGS,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,20,,,,,,,,,,,,,,,,,,
DEVICE SIGNALS,DEVICE SIGNALS,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",42,20,,,,,,,,,,,,,,,,,,
DRIVER'S LICENSE NUMBER,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,43,20,,,,,,,,,,,,,,,,,,
IP ADDRESS,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",46,20,,,,,,,,,,,,,,,,,,
LOCATION HISTORY,LOCATION FROM DEVICE,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",47,20,,,,,,,,,,,,,,,,,,
LOGIN INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",48,20,,,,,,,,,,,,,,,,,,
NAME,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE",49,20,,,,,,,,,,,,,,,,,,
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",50,20,,,,,,,,,,,,,,,,,,
NETWORK INFORMATION,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",51,20,,,,,,,,,,,,,,,,,,
NON-PERSONAL DATA,NON-PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE",52,20,,,,,,,,,,,,,,,,,,
PAYMENT CARD INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,53,20,,,,,,,,,,,,,,,,,,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",54,20,,,,,,,,,,,,,,,,,,
