DATASOURCE,DATATYPE,HOW,DATATYPE_IN_NODES,DATASOURCE_IN_NODES
THIRD PARTY DATA BROKERS,AD INTERACTIONS,FROM THIRD PARTIES,62,8
USER PROVIDED,AD INTERACTIONS,USER PROVIDED,62,9
DEVICES,PUBLIC DATA,HARVESTED,63,5
PUBLIC DATA SOURCES,PUBLIC DATA,HARVESTED,63,6
ACTIVE PRODUCT USE,PURCHASE HISTORY,USER PROVIDED,64,1
USER PROVIDED,PURCHASE HISTORY,USER PROVIDED,64,9
ACTIVE PRODUCT USE,SEARCHES,USER PROVIDED,65,1
THIRD PARTY APPLICATIONS,SEARCHES,USER PROVIDED,65,7
DEVICES,SERVICE PROVIDER INFORMATION,HARVESTED,66,5
PUBLIC DATA SOURCES,SERVICE PROVIDER INFORMATION,HARVESTED,66,6
THIRD PARTY DATA BROKERS,SERVICE PROVIDER INFORMATION,FROM THIRD PARTIES,66,8
USER PROVIDED,SOCIAL SECURITY NUMBER,USER PROVIDED,67,9
USER PROVIDED,USER'S CONTACT INFORMATION,USER PROVIDED,68,9
