NAME,CATEGORY,SUBCATEGORY,ORDER,INCLUDES,IN_GENERATES,IN_COLLECTS
DEVICE INFORMATION,TYPE OF DATA,DEVICE INFO,13,"BATTERY LEVEL, DEVICE TYPE (PHONE, COMPUTER), HARDWARE VERSION, OPERATING PLATFORM/SYSTEM, SOFTWARE VERSIONS, SYSTEM ACTIVITY, STORAGE SPACE, OTHER DEVICE INFORMATION",31,29
DEVICE SETTINGS,TYPE OF DATA,DEVICE INFO,14,"DEVICE LANGUAGE, TIME ZONE, DATE",32,28
DEVICE SIGNALS,TYPE OF DATA,DEVICE SIGNALS,15,"BLUETOOTH SIGNALS, SIGNAL STRENGTH, WI-FI SIGNAL",33,27
DRIVER'S LICENSE NUMBER,TYPE OF DATA,PERSONAL DATA,16,DRIVERS LICENSE NUMBER,34,26
FAMILY MEMBERS' INFORMATION,TYPE OF DATA,PERSONAL DATA,17,FAMILY MEMBERS INFORMATION,36,25
FILE INFORMATION,TYPE OF DATA,DEVICE INFO,18,"FILE NAMES, FILE TYPES, STORAGE SPACE",38,24
IP ADDRESS,TYPE OF DATA,DEVICE INFO,19,IP ADDRESS,40,23
LOCATION HISTORY,TYPE OF DATA,LOCATION FROM DEVICE,20,"FREQUENTLY VISITED LOCATIONS, LOCATION HISTORY",41,22
LOGIN INFORMATION,TYPE OF DATA,PERSONAL DATA,21,LOGIN INFORMATION,46,21
NAME,TYPE OF DATA,PERSONAL DATA,22,NAME,48,20
NEARBY LOCATIONS AND PEOPLE,TYPE OF DATA,LOCATION FROM DEVICE,23,"BUSINESSES NEARBY, PEOPLE NEARBY",49,19
NETWORK INFORMATION,TYPE OF DATA,DEVICE INFO,24,"COOKIES AND COOKIE DATA, DOWNLOAD & CRASH ERRORS, PAGE RESPONSE TIMES, CONNECTION SPEED, DEVICE NETWORK, NEARBY DEVICES, WI-FI ACCESS POINT DATA",57,18
NON-PERSONAL DATA,TYPE OF DATA,NON-PERSONAL DATA,25,"CONTACT PREFERENCES, INFORMATION ABOUT OTHER USERS OF YOUR ACCOUNT, INFORMATION ABOUT THIRD PARTIES YOU INTERACT WITH, POTENTIAL CUSTOMERS, CUSTOMER LISTS",60,17
PAYMENT CARD INFORMATION,TYPE OF DATA,PERSONAL DATA,26,PAYMENT CARD INFORMATION,63,16
PHOTOGRAPH FROM PROFILE,TYPE OF DATA,PERSONAL DATA,27,PHOTOGRAPH FROM PROFILE,64,15
PHOTOS,TYPE OF DATA,PERSONAL DATA,28,PHOTOS,65,14
CUSTOMER SERVICE COMMUNICATIONS,TYPE OF DATA,PRODUCT USE,29,"CUSTOMER SERVICE COMMUNICATION, DELIVERY INFO",67,13
PRODUCT USE,TYPE OF DATA,PRODUCT USE,30,"CONTENT VIEWS/INTERACTIONS, CLICKS/TAPS, BROWSING HISTORY, SCROLLING",69,12
USE OF OTHER PLATFORMS,TYPE OF DATA,PRODUCT USE,31,"AMAZON, APPLE, FACEBOOK, GOOGLE",74,11
FEATURES USE,TYPE OF DATA,PRODUCT USE,32,"VOICE AND AUDIO INFORMATION, LOCATION DATA (""FIND MY,"" DIRECTIONS), INTERACTIONS WITH OTHER USERS, LIKES, HASHTAGS, GROUPS, ENGAGES, VIEWS",79,10
ACTIVE STATUS,TYPE OF DATA,PRODUCT USE,33,"CURRENT USE, LAST USE, TIME, FREQUENCY, DURATION OF ACTIONS",82,9
CONTENT CREATED/UPLOADED,TYPE OF DATA,PRODUCT USE,34,"PHOTOS, VIDEOS, TEXT, EMAILS SENT/RECEIVED, MESSAGES",84,8
AD INTERACTIONS,TYPE OF DATA,PRODUCT USE,35,"VIEWS, FURTHER ACTIONS, PURCHASES",86,7
PUBLIC DATA,TYPE OF DATA,NON-PERSONAL DATA,36,"PUBLIC PROFILE PICTURE, PUBLIC CONTENT, REVIEWS, NEWSPAPER ARTICLES, LEGAL PROCEEDINGS, VOTER INFORMATION, COURT RECORDS, PROPERTY RECORDS, MARRIAGE CERTIFICATES, DEATH CERTIFICATES, OTHER PUBLICLY AVAILABLE DATA",91,6
PURCHASE HISTORY,TYPE OF DATA,NON-PERSONAL DATA,37,PURCHASE HISTORY,93,5
SEARCHES,TYPE OF DATA,NON-PERSONAL DATA,38,"TERMS, RESULTS, HISTORY, SETTINGS",95,4
SERVICE PROVIDER INFORMATION,TYPE OF DATA,DEVICE SIGNALS,39,"INTERNET SERVICE PROVIDER, MOBILE OPERATOR",97,3
SOCIAL SECURITY NUMBER,TYPE OF DATA,PERSONAL DATA,40,SOCIAL SECURITY NUMBER,100,2
USER'S CONTACT INFORMATION,TYPE OF DATA,PERSONAL DATA,41,"E-MAIL ADDRESS, HOME ADDRESS, PHONE NUMBER, SHIPPING ADDRESS",101,1
