DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,AMAZON2019,APPLE2019,FACEBOOK2019,GOOGLE2019,COMPANIES,GOOGLE2010,IN_NODES,IN_NODES,USERCONTROLFACEBOOK
DEVICE SETTINGS,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,41,11,No
DEVICE INFORMATION,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,40,11,No
DEVICE IDENTIFIERS,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,39,11,No
DEMOGRAPHICS,NON-PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,38,11,No
DATE OF BIRTH,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,37,11,No
CURRENT LOCATION,LOCATION FROM DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,36,11,No
CREDIT HISTORY,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,,,,GOOGLE,GOOGLE,,35,11,
CONTACTS' INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,34,11,No
CAMERA INFORMATION,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,33,11,No
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,32,11,No
BIOMETRICS,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,,APPLE,,GOOGLE,"APPLE,GOOGLE",GOOGLE,31,11,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,30,11,No
APP INFORMATION,BEHAVIOR ON DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,29,11,No
