DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,AMAZON2019,APPLE2019,FACEBOOK2019,GOOGLE2019,COMPANIES,GOOGLE2010,IN_NODES,IN_NODES,USERCONTROLFACEBOOK
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,32,14,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,30,14,
APP INFORMATION,BEHAVIOR ON DEVICE,ANY PURPOSE,ANY PURPOSE,,APPLE,,,APPLE,,29,14,
USER'S CONTACT INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,68,15,No
SOCIAL SECURITY NUMBER,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",,67,15,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,66,15,No
SEARCHES,NON-PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,65,15,No
PURCHASE HISTORY,NON-PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,64,15,No
PUBLIC DATA,NON-PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,63,15,No
AD INTERACTIONS,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,62,15,No
CONTENT CREATED/UPLOADED,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,61,15,No
ACTIVE STATUS,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,60,15,No
FEATURES USE,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,59,15,No
USE OF OTHER PLATFORMS,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,58,15,No
PRODUCT USE,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,57,15,No
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,56,15,
PHOTOS,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,,APPLE,FACEBOOK,GOOGLE,"APPLE,FACEBOOK,GOOGLE",GOOGLE,55,15,No
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,54,15,No
PAYMENT CARD INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,,APPLE,,GOOGLE,"APPLE,GOOGLE",GOOGLE,53,15,
NON-PERSONAL DATA,NON-PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,52,15,No
NETWORK INFORMATION,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,51,15,No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,50,15,No
NAME,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,49,15,No
LOGIN INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,,APPLE,FACEBOOK,GOOGLE,"APPLE,FACEBOOK,GOOGLE",GOOGLE,48,15,No
LOCATION HISTORY,LOCATION FROM DEVICE,COMPANY OPERATIONS,OPERATIONS,AMAZON,,FACEBOOK,GOOGLE,"AMAZON,FACEBOOK,GOOGLE",GOOGLE,47,15,No
IP ADDRESS,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,46,15,No
FILE INFORMATION,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,,APPLE,,GOOGLE,"APPLE,GOOGLE",GOOGLE,45,15,
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,,APPLE,,,APPLE,GOOGLE,44,15,
DRIVER'S LICENSE NUMBER,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",,43,15,
DEVICE SIGNALS,DEVICE SIGNALS,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,42,15,No
DEVICE SETTINGS,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,41,15,No
DEVICE INFORMATION,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,40,15,No
DEVICE IDENTIFIERS,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,39,15,No
DEMOGRAPHICS,NON-PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,38,15,No
DATE OF BIRTH,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,37,15,No
CURRENT LOCATION,LOCATION FROM DEVICE,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,36,15,No
CONTACTS' INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,34,15,No
CAMERA INFORMATION,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,33,15,No
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,32,15,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,30,15,No
APP INFORMATION,BEHAVIOR ON DEVICE,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,29,15,No
ACCOUNT INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,28,15,No
USER'S CONTACT INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,68,16,No
SOCIAL SECURITY NUMBER,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,,,"AMAZON,APPLE",,67,16,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,66,16,No
SEARCHES,NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,65,16,
PURCHASE HISTORY,NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,,,"AMAZON,APPLE",GOOGLE,64,16,
PUBLIC DATA,NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,63,16,No
AD INTERACTIONS,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,62,16,No
CONTENT CREATED/UPLOADED,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,61,16,No
ACTIVE STATUS,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,60,16,No
FEATURES USE,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,59,16,No
USE OF OTHER PLATFORMS,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,58,16,No
PRODUCT USE,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,57,16,No
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,56,16,
PHOTOS,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,55,16,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,54,16,No
PAYMENT CARD INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,,,"AMAZON,APPLE",GOOGLE,53,16,
NON-PERSONAL DATA,NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,52,16,No
NETWORK INFORMATION,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,51,16,No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,50,16,No
NAME,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,49,16,No
LOGIN INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,48,16,No
LOCATION HISTORY,LOCATION FROM DEVICE,IMPROVE PRODUCTS,ANALYTICS,AMAZON,,FACEBOOK,GOOGLE,"AMAZON,FACEBOOK,GOOGLE",GOOGLE,47,16,No
IP ADDRESS,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,46,16,No
FILE INFORMATION,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,,APPLE,,GOOGLE,"APPLE,GOOGLE",GOOGLE,45,16,
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,,APPLE,,,APPLE,GOOGLE,44,16,
DRIVER'S LICENSE NUMBER,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,,,"AMAZON,APPLE",,43,16,
DEVICE SIGNALS,DEVICE SIGNALS,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,42,16,No
DEVICE SETTINGS,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,41,16,No
DEVICE INFORMATION,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,40,16,No
DEVICE IDENTIFIERS,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,39,16,
DEMOGRAPHICS,NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,,APPLE,FACEBOOK,GOOGLE,"APPLE,FACEBOOK,GOOGLE",GOOGLE,38,16,No
DATE OF BIRTH,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,37,16,No
CURRENT LOCATION,LOCATION FROM DEVICE,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,36,16,No
CREDIT HISTORY,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,,,"AMAZON,APPLE",,35,16,
CONTACTS' INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,34,16,
CAMERA INFORMATION,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,33,16,No
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,32,16,
BIOMETRICS,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,,,FACEBOOK,GOOGLE,"FACEBOOK,GOOGLE",GOOGLE,31,16,No
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,30,16,No
APP INFORMATION,BEHAVIOR ON DEVICE,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,29,16,No
ACCOUNT INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,28,16,No
USER'S CONTACT INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,68,17,No
SOCIAL SECURITY NUMBER,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,,,,AMAZON,,67,17,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,66,17,No
SEARCHES,NON-PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,65,17,No
PURCHASE HISTORY,NON-PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,64,17,
PUBLIC DATA,NON-PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,63,17,No
AD INTERACTIONS,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,62,17,No
CONTENT CREATED/UPLOADED,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,61,17,No
ACTIVE STATUS,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,60,17,No
FEATURES USE,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,59,17,No
USE OF OTHER PLATFORMS,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,58,17,No
PRODUCT USE,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,57,17,No
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,56,17,
PHOTOS,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,,APPLE,,GOOGLE,"APPLE,GOOGLE",GOOGLE,55,17,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,54,17,No
PAYMENT CARD INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,,,"AMAZON,APPLE",GOOGLE,53,17,
NON-PERSONAL DATA,NON-PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,52,17,No
NETWORK INFORMATION,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,51,17,No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,50,17,No
NAME,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,49,17,No
LOGIN INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,48,17,No
LOCATION HISTORY,LOCATION FROM DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,47,17,No
IP ADDRESS,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,46,17,No
FILE INFORMATION,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,,APPLE,,GOOGLE,"APPLE,GOOGLE",GOOGLE,45,17,
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,,APPLE,,,APPLE,GOOGLE,44,17,
DRIVER'S LICENSE NUMBER,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,,,"AMAZON,APPLE",,43,17,
DEVICE SIGNALS,DEVICE SIGNALS,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,42,17,No
DEVICE SETTINGS,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,41,17,No
DEVICE INFORMATION,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,40,17,No
DEVICE IDENTIFIERS,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,39,17,
DEMOGRAPHICS,NON-PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,,APPLE,FACEBOOK,GOOGLE,"APPLE,FACEBOOK,GOOGLE",GOOGLE,38,17,No
DATE OF BIRTH,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,37,17,No
CURRENT LOCATION,LOCATION FROM DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,36,17,No
CONTACTS' INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,,GOOGLE,"AMAZON,APPLE,GOOGLE",GOOGLE,34,17,
CAMERA INFORMATION,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,33,17,No
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,32,17,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,30,17,No
APP INFORMATION,BEHAVIOR ON DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,29,17,No
ACCOUNT INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,28,17,No
USER'S CONTACT INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,68,18,No
SOCIAL SECURITY NUMBER,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",,67,18,No
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,66,18,No
SEARCHES,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,65,18,No
PURCHASE HISTORY,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,64,18,No
PUBLIC DATA,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,63,18,No
AD INTERACTIONS,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,62,18,No
CONTENT CREATED/UPLOADED,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,61,18,No
ACTIVE STATUS,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,AMAZON,APPLE,FACEBOOK,GOOGLE,"AMAZON,APPLE,FACEBOOK,GOOGLE",GOOGLE,60,18,No
