DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,COMPANIES,IN_NODES,IN_NODES
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,26
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,PRODUCT SAFETY,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,25
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,PERSONALIZE PRODUCT,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,16
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,PERSONALIZE CONTENT,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,15
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,OTHER,LOCATION-BASED SERVICES,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,11
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,LOCATION-BASED SERVICES,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,18
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,14
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,IMPROVE PRODUCT,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,13
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,COMPANY OPERATIONS,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,19
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,ANYONE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,27
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,ANY PURPOSE,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,17
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,ANALYTICS,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,12
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,ADVERTISING,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,10
BEHAVIOR ON DEVICE,BEHAVIOR ON DEVICE,ACCOUNT SECURITY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,24
CAMERA INFO,DEVICE INFO,THIRD PARTY,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,28
CAMERA INFO,DEVICE INFO,RESEARCH AND DEVELOPMENT,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,23
CAMERA INFO,DEVICE INFO,RECOGNIZE FACES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,21
CAMERA INFO,DEVICE INFO,PROVIDE SERVICES,PROVIDE BUSINESS SERVICES,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,20
CAMERA INFO,DEVICE INFO,PROVIDE BUSINESS SERVICES,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,22
CAMERA INFO,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,26
CAMERA INFO,DEVICE INFO,PRODUCT SAFETY,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,25
CAMERA INFO,DEVICE INFO,PERSONALIZE PRODUCT,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,16
CAMERA INFO,DEVICE INFO,PERSONALIZE CONTENT,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,15
CAMERA INFO,DEVICE INFO,OTHER,LOCATION-BASED SERVICES,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,11
CAMERA INFO,DEVICE INFO,LOCATION-BASED SERVICES,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,18
CAMERA INFO,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,14
CAMERA INFO,DEVICE INFO,IMPROVE PRODUCT,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,13
CAMERA INFO,DEVICE INFO,COMPANY OPERATIONS,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,19
CAMERA INFO,DEVICE INFO,ANYONE,ANY PURPOSE,APPLE,32,27
CAMERA INFO,DEVICE INFO,ANY PURPOSE,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,17
CAMERA INFO,DEVICE INFO,ANALYTICS,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",32,12
