NAME,CATEGORY,SUBCATEGORY,ORDER,INCLUDES
DEVICE SIGNALS,TYPE OF DATA,DEVICE SIGNALS,15,"BLUETOOTH SIGNALS, SIGNAL STRENGTH, WI-FI SIGNAL"
DRIVER'S LICENSE NUMBER,TYPE OF DATA,PERSONAL DATA,16,DRIVERS LICENSE NUMBER
FAMILY MEMBERS' INFORMATION,TYPE OF DATA,PERSONAL DATA,17,FAMILY MEMBERS INFORMATION
FILE INFORMATION,TYPE OF DATA,DEVICE INFO,18,"FILE NAMES, FILE TYPES, STORAGE SPACE"
IP ADDRESS,TYPE OF DATA,DEVICE INFO,19,IP ADDRESS
LOCATION HISTORY,TYPE OF DATA,LOCATION FROM DEVICE,20,"FREQUENTLY VISITED LOCATIONS, LOCATION HISTORY"
LOGIN INFORMATION,TYPE OF DATA,PERSONAL DATA,21,LOGIN INFORMATION
NAME,TYPE OF DATA,PERSONAL DATA,22,NAME
NEARBY LOCATIONS AND PEOPLE,TYPE OF DATA,LOCATION FROM DEVICE,23,"BUSINESSES NEARBY, PEOPLE NEARBY"
NETWORK INFORMATION,TYPE OF DATA,DEVICE INFO,24,"COOKIES AND COOKIE DATA, DOWNLOAD & CRASH ERRORS, PAGE RESPONSE TIMES, CONNECTION SPEED, DEVICE NETWORK, NEARBY DEVICES, WI-FI ACCESS POINT DATA"
NON-PERSONAL DATA,TYPE OF DATA,NON-PERSONAL DATA,25,"CONTACT PREFERENCES, INFORMATION ABOUT OTHER USERS OF YOUR ACCOUNT, INFORMATION ABOUT THIRD PARTIES YOU INTERACT WITH, POTENTIAL CUSTOMERS, CUSTOMER LISTS"
PAYMENT CARD INFORMATION,TYPE OF DATA,PERSONAL DATA,26,PAYMENT CARD INFORMATION
PHOTOGRAPH FROM PROFILE,TYPE OF DATA,PERSONAL DATA,27,PHOTOGRAPH FROM PROFILE
PHOTOS,TYPE OF DATA,PERSONAL DATA,28,PHOTOS
CUSTOMER SERVICE COMMUNICATIONS,TYPE OF DATA,PRODUCT USE,29,"CUSTOMER SERVICE COMMUNICATION, DELIVERY INFO"
PRODUCT USE,TYPE OF DATA,PRODUCT USE,30,"CONTENT VIEWS/INTERACTIONS, CLICKS/TAPS, BROWSING HISTORY, SCROLLING"
USE OF OTHER PLATFORMS,TYPE OF DATA,PRODUCT USE,31,"AMAZON, APPLE, FACEBOOK, GOOGLE"
FEATURES USE,TYPE OF DATA,PRODUCT USE,32,"VOICE AND AUDIO INFORMATION, LOCATION DATA (""FIND MY,"" DIRECTIONS), INTERACTIONS WITH OTHER USERS, LIKES, HASHTAGS, GROUPS, ENGAGES, VIEWS"
ACTIVE STATUS,TYPE OF DATA,PRODUCT USE,33,"CURRENT USE, LAST USE, TIME, FREQUENCY, DURATION OF ACTIONS"
CONTENT CREATED/UPLOADED,TYPE OF DATA,PRODUCT USE,34,"PHOTOS, VIDEOS, TEXT, EMAILS SENT/RECEIVED, MESSAGES"
AD INTERACTIONS,TYPE OF DATA,PRODUCT USE,35,"VIEWS, FURTHER ACTIONS, PURCHASES"
PUBLIC DATA,TYPE OF DATA,NON-PERSONAL DATA,36,"PUBLIC PROFILE PICTURE, PUBLIC CONTENT, REVIEWS, NEWSPAPER ARTICLES, LEGAL PROCEEDINGS, VOTER INFORMATION, COURT RECORDS, PROPERTY RECORDS, MARRIAGE CERTIFICATES, DEATH CERTIFICATES, OTHER PUBLICLY AVAILABLE DATA"
PURCHASE HISTORY,TYPE OF DATA,NON-PERSONAL DATA,37,PURCHASE HISTORY
SEARCHES,TYPE OF DATA,NON-PERSONAL DATA,38,"TERMS, RESULTS, HISTORY, SETTINGS"
SERVICE PROVIDER INFORMATION,TYPE OF DATA,DEVICE SIGNALS,39,"INTERNET SERVICE PROVIDER, MOBILE OPERATOR"
SOCIAL SECURITY NUMBER,TYPE OF DATA,PERSONAL DATA,40,SOCIAL SECURITY NUMBER
USER'S CONTACT INFORMATION,TYPE OF DATA,PERSONAL DATA,41,"E-MAIL ADDRESS, HOME ADDRESS, PHONE NUMBER, SHIPPING ADDRESS"
