DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,COMPANIES,USERCONTROLFACEBOOK
DATE OF BIRTH,PERSONAL DATA,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",Yes
DEMOGRAPHICS,NON-PERSONAL DATA,ADVERTISING,ADVERTISING,FACEBOOK,No
DEVICE IDENTIFIERS,DEVICE INFO,ADVERTISING,ADVERTISING,"AMAZON,APPLE",
DEVICE INFORMATION,DEVICE INFO,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEVICE SETTINGS,DEVICE INFO,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEVICE SIGNALS,DEVICE SIGNALS,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DRIVER'S LICENSE NUMBER,PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,
IP ADDRESS,DEVICE INFO,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
LOCATION HISTORY,LOCATION FROM DEVICE,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
LOGIN INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",Yes
NAME,PERSONAL DATA,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK",Yes
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,ADVERTISING,ADVERTISING,APPLE,
NETWORK INFORMATION,DEVICE INFO,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
NON-PERSONAL DATA,NON-PERSONAL DATA,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK",No
PAYMENT CARD INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PRODUCT USE,PRODUCT USE,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PUBLIC DATA,NON-PERSONAL DATA,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PURCHASE HISTORY,NON-PERSONAL DATA,ADVERTISING,ADVERTISING,"AMAZON,FACEBOOK",Yes
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,ADVERTISING,ADVERTISING,"AMAZON,FACEBOOK",No
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
SOCIAL SECURITY NUMBER,PERSONAL DATA,ADVERTISING,ADVERTISING,AMAZON,
USER'S CONTACT INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
ACCOUNT INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
APP INFORMATION,BEHAVIOR ON DEVICE,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
BIOMETRICS,PERSONAL DATA,ANALYTICS,ANALYTICS,"FACEBOOK,GOOGLE",Yes
CAMERA INFORMATION,DEVICE INFO,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
CONTACTS' INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,FACEBOOK,No
CURRENT LOCATION,LOCATION FROM DEVICE,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,ANALYTICS,ANALYTICS,"AMAZON,APPLE",
DATE OF BIRTH,PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEMOGRAPHICS,NON-PERSONAL DATA,ANALYTICS,ANALYTICS,FACEBOOK,No
DEVICE IDENTIFIERS,DEVICE INFO,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK",No
DEVICE INFORMATION,DEVICE INFO,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEVICE SETTINGS,DEVICE INFO,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEVICE SIGNALS,DEVICE SIGNALS,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
FILE INFORMATION,DEVICE INFO,ANALYTICS,ANALYTICS,FACEBOOK,No
IP ADDRESS,DEVICE INFO,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
LOCATION HISTORY,LOCATION FROM DEVICE,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
LOGIN INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
NAME,PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK",No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
NETWORK INFORMATION,DEVICE INFO,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
NON-PERSONAL DATA,NON-PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK",No
PAYMENT CARD INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,FACEBOOK",No
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PRODUCT USE,PRODUCT USE,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PUBLIC DATA,NON-PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,FACEBOOK",No
PURCHASE HISTORY,NON-PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,FACEBOOK",No
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,FACEBOOK",No
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
USER'S CONTACT INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
APP INFORMATION,BEHAVIOR ON DEVICE,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
CAMERA INFORMATION,DEVICE INFO,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
CURRENT LOCATION,LOCATION FROM DEVICE,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE IDENTIFIERS,DEVICE INFO,ANY PURPOSE,ANY PURPOSE,"AMAZON,FACEBOOK,GOOGLE",
DEVICE INFORMATION,DEVICE INFO,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE SETTINGS,DEVICE INFO,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE SIGNALS,DEVICE SIGNALS,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
FILE INFORMATION,DEVICE INFO,ANY PURPOSE,ANY PURPOSE,"FACEBOOK,GOOGLE",
LOCATION HISTORY,LOCATION FROM DEVICE,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",
