DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,COMPANIES,USERCONTROLFACEBOOK
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PRODUCT USE,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PUBLIC DATA,NON-PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PURCHASE HISTORY,NON-PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
SOCIAL SECURITY NUMBER,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,
USER'S CONTACT INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
ACCOUNT INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
APP INFORMATION,BEHAVIOR ON DEVICE,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
BIOMETRICS,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
CAMERA INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
CONTACTS' INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
CREDIT HISTORY,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
CURRENT LOCATION,LOCATION FROM DEVICE,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DATE OF BIRTH,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEMOGRAPHICS,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEVICE IDENTIFIERS,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEVICE INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEVICE SETTINGS,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEVICE SIGNALS,DEVICE SIGNALS,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DRIVER'S LICENSE NUMBER,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
FILE INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
IP ADDRESS,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
LOCATION HISTORY,LOCATION FROM DEVICE,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
LOGIN INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
NAME,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
NETWORK INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
NON-PERSONAL DATA,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PAYMENT CARD INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PHOTOS,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PRODUCT USE,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PUBLIC DATA,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PURCHASE HISTORY,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
SOCIAL SECURITY NUMBER,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
USER'S CONTACT INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
ACCOUNT INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK",No
APP INFORMATION,BEHAVIOR ON DEVICE,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
CAMERA INFORMATION,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
CONTACTS' INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,
CURRENT LOCATION,LOCATION FROM DEVICE,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE",
DATE OF BIRTH,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEVICE IDENTIFIERS,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE",
DEVICE INFORMATION,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEVICE SETTINGS,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEVICE SIGNALS,DEVICE SIGNALS,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
IP ADDRESS,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
LOCATION HISTORY,LOCATION FROM DEVICE,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
LOGIN INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
NAME,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK",No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
NETWORK INFORMATION,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
NON-PERSONAL DATA,NON-PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE",
PAYMENT CARD INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PRODUCT USE,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PUBLIC DATA,NON-PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PURCHASE HISTORY,NON-PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,AMAZON,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
USER'S CONTACT INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
ACCOUNT INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK",No
APP INFORMATION,BEHAVIOR ON DEVICE,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
CAMERA INFORMATION,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CONTACTS' INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,
CURRENT LOCATION,LOCATION FROM DEVICE,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE",
DATE OF BIRTH,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE IDENTIFIERS,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE",
DEVICE INFORMATION,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE SETTINGS,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE SIGNALS,DEVICE SIGNALS,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DRIVER'S LICENSE NUMBER,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,
IP ADDRESS,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
LOCATION HISTORY,LOCATION FROM DEVICE,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
LOGIN INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
NAME,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE",
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
NETWORK INFORMATION,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
NON-PERSONAL DATA,NON-PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK",
PAYMENT CARD INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PRODUCT USE,PRODUCT USE,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PUBLIC DATA,NON-PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PURCHASE HISTORY,NON-PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
SOCIAL SECURITY NUMBER,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,AMAZON,
USER'S CONTACT INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
ACCOUNT INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK",No
APP INFORMATION,BEHAVIOR ON DEVICE,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
BIOMETRICS,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"APPLE,FACEBOOK,GOOGLE",No
CAMERA INFORMATION,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CONTACTS' INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,
CURRENT LOCATION,LOCATION FROM DEVICE,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,
DATE OF BIRTH,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE IDENTIFIERS,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE",
DEVICE INFORMATION,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE SETTINGS,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE SIGNALS,DEVICE SIGNALS,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
IP ADDRESS,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
LOCATION HISTORY,LOCATION FROM DEVICE,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
LOGIN INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
NAME,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK",
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,FACEBOOK",
NETWORK INFORMATION,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
NON-PERSONAL DATA,NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK",
PAYMENT CARD INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PRODUCT USE,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PUBLIC DATA,NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PURCHASE HISTORY,NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,AMAZON,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,FACEBOOK",
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
USER'S CONTACT INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
ACCOUNT INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK",No
APP INFORMATION,BEHAVIOR ON DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
CAMERA INFORMATION,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CONTACTS' INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,AMAZON,
CURRENT LOCATION,LOCATION FROM DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,AMAZON,
DATE OF BIRTH,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE IDENTIFIERS,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE",
DEVICE INFORMATION,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEVICE SETTINGS,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE SIGNALS,DEVICE SIGNALS,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DRIVER'S LICENSE NUMBER,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,AMAZON,
IP ADDRESS,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
LOCATION HISTORY,LOCATION FROM DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
LOGIN INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
NAME,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE",
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
NETWORK INFORMATION,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
NON-PERSONAL DATA,NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK",
PAYMENT CARD INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,AMAZON,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PRODUCT USE,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PUBLIC DATA,NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PURCHASE HISTORY,NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,AMAZON,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,AMAZON,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
SOCIAL SECURITY NUMBER,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,AMAZON,
USER'S CONTACT INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
ACCOUNT INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE",No
APP INFORMATION,BEHAVIOR ON DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CAMERA INFORMATION,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CREDIT HISTORY,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,AMAZON,
CURRENT LOCATION,LOCATION FROM DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE",
DATE OF BIRTH,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE IDENTIFIERS,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,AMAZON,
DEVICE INFORMATION,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEVICE SETTINGS,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DEVICE SIGNALS,DEVICE SIGNALS,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DRIVER'S LICENSE NUMBER,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,AMAZON,
LOCATION HISTORY,LOCATION FROM DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
LOGIN INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
NAME,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE",No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,APPLE,
NETWORK INFORMATION,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
NON-PERSONAL DATA,NON-PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK",
PAYMENT CARD INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,AMAZON,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PRODUCT USE,PRODUCT USE,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PUBLIC DATA,NON-PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
PURCHASE HISTORY,NON-PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,AMAZON,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,AMAZON,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
SOCIAL SECURITY NUMBER,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,AMAZON,
USER'S CONTACT INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",
ACCOUNT INFORMATION,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
APP INFORMATION,BEHAVIOR ON DEVICE,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
BIOMETRICS,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"APPLE,FACEBOOK,GOOGLE",
CAMERA INFORMATION,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CONTACTS' INFORMATION,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CURRENT LOCATION,LOCATION FROM DEVICE,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
DATE OF BIRTH,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",
