DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,ZOOM2020
PRODUCT USE,PRODUCT USE,ANALYTICS,ANALYTICS,ZOOM
PRODUCT USE,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,ZOOM
PRODUCT USE,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,ZOOM
PRODUCT USE,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,ZOOM
PRODUCT USE,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
PRODUCT USE,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
PRODUCT USE,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
PRODUCT USE,PRODUCT USE,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
PRODUCT USE,PRODUCT USE,PROVIDE SERVICES,OPERATIONS,ZOOM
PRODUCT USE,PRODUCT USE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
PRODUCT USE,PRODUCT USE,THIRD PARTY,THIRD PARTY,ZOOM
PUBLIC DATA,NON-PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
PUBLIC DATA,NON-PERSONAL DATA,ADVERTISING,ADVERTISING,ZOOM
PUBLIC DATA,NON-PERSONAL DATA,ANALYTICS,ANALYTICS,ZOOM
PUBLIC DATA,NON-PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,ZOOM
PUBLIC DATA,NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,ZOOM
PUBLIC DATA,NON-PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,ZOOM
PUBLIC DATA,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
PUBLIC DATA,NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
PUBLIC DATA,NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
PUBLIC DATA,NON-PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
PUBLIC DATA,NON-PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,ZOOM
PUBLIC DATA,NON-PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
PUBLIC DATA,NON-PERSONAL DATA,THIRD PARTY,THIRD PARTY,ZOOM
PURCHASE HISTORY,NON-PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
PURCHASE HISTORY,NON-PERSONAL DATA,ADVERTISING,ADVERTISING,ZOOM
PURCHASE HISTORY,NON-PERSONAL DATA,ANALYTICS,ANALYTICS,ZOOM
PURCHASE HISTORY,NON-PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,ZOOM
PURCHASE HISTORY,NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,ZOOM
PURCHASE HISTORY,NON-PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,ZOOM
PURCHASE HISTORY,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
PURCHASE HISTORY,NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
PURCHASE HISTORY,NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
PURCHASE HISTORY,NON-PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
PURCHASE HISTORY,NON-PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,ZOOM
PURCHASE HISTORY,NON-PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
PURCHASE HISTORY,NON-PERSONAL DATA,THIRD PARTY,THIRD PARTY,ZOOM
SEARCHES,NON-PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
SEARCHES,NON-PERSONAL DATA,ADVERTISING,ADVERTISING,ZOOM
SEARCHES,NON-PERSONAL DATA,ANALYTICS,ANALYTICS,ZOOM
SEARCHES,NON-PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,ZOOM
SEARCHES,NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,ZOOM
SEARCHES,NON-PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,ZOOM
SEARCHES,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
SEARCHES,NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
SEARCHES,NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
SEARCHES,NON-PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
SEARCHES,NON-PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,ZOOM
SEARCHES,NON-PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
SEARCHES,NON-PERSONAL DATA,THIRD PARTY,THIRD PARTY,ZOOM
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,ADVERTISING,ADVERTISING,ZOOM
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,ANALYTICS,ANALYTICS,ZOOM
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,COMPANY OPERATIONS,OPERATIONS,ZOOM
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,IMPROVE PRODUCTS,ANALYTICS,ZOOM
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,LEARN USERS' BEHAVIOR,ANALYTICS,ZOOM
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PROVIDE SERVICES,OPERATIONS,ZOOM
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,THIRD PARTY,THIRD PARTY,ZOOM
USE OF OTHER PLATFORMS,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
USE OF OTHER PLATFORMS,PRODUCT USE,ADVERTISING,ADVERTISING,ZOOM
USE OF OTHER PLATFORMS,PRODUCT USE,ANALYTICS,ANALYTICS,ZOOM
USE OF OTHER PLATFORMS,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,ZOOM
USE OF OTHER PLATFORMS,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,ZOOM
USE OF OTHER PLATFORMS,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,ZOOM
USE OF OTHER PLATFORMS,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
USE OF OTHER PLATFORMS,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
USE OF OTHER PLATFORMS,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
USE OF OTHER PLATFORMS,PRODUCT USE,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
USE OF OTHER PLATFORMS,PRODUCT USE,PROVIDE SERVICES,OPERATIONS,ZOOM
USE OF OTHER PLATFORMS,PRODUCT USE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
USE OF OTHER PLATFORMS,PRODUCT USE,THIRD PARTY,THIRD PARTY,ZOOM
USER'S CONTACT INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,ZOOM
USER'S CONTACT INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,ZOOM
USER'S CONTACT INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
USER'S CONTACT INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,ZOOM
USER'S CONTACT INFORMATION,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,ZOOM
USER'S CONTACT INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
USER'S CONTACT INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
USER'S CONTACT INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
USER'S CONTACT INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
USER'S CONTACT INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
USER'S CONTACT INFORMATION,PERSONAL DATA,THIRD PARTY,THIRD PARTY,ZOOM
