DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,ZOOM2020
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,PROVIDE SERVICES,OPERATIONS,ZOOM
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,THIRD PARTY,THIRD PARTY,ZOOM
CAMERA INFORMATION,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
CAMERA INFORMATION,DEVICE INFO,ADVERTISING,ADVERTISING,ZOOM
CAMERA INFORMATION,DEVICE INFO,ANALYTICS,ANALYTICS,ZOOM
CAMERA INFORMATION,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,ZOOM
CAMERA INFORMATION,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,ZOOM
CAMERA INFORMATION,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,ZOOM
CAMERA INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
CAMERA INFORMATION,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
CAMERA INFORMATION,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
CAMERA INFORMATION,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
CAMERA INFORMATION,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,ZOOM
CAMERA INFORMATION,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
CAMERA INFORMATION,DEVICE INFO,THIRD PARTY,THIRD PARTY,ZOOM
CONTACTS' INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,ZOOM
CONTACTS' INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,ZOOM
CONTACTS' INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
CONTACTS' INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,ZOOM
